UID          PID    PPID  C STIME TTY          TIME CMD
root         756       1  0 15:06 ?        00:00:00 /usr/sbin/lightdm
root         811     756  1 15:06 tty7     00:00:23 /usr/lib/xorg/Xorg :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
root         814       1  0 15:06 tty1     00:00:00 /sbin/agetty -o -p -- \u --noclear - linux
root        1000       2  0 15:06 ?        00:00:00 [psimon]
rtkit       1030       1  0 15:07 ?        00:00:00 /usr/libexec/rtkit-daemon
root        1163       2  0 15:12 ?        00:00:00 [kworker/1:0-mm_percpu_wq]
root        1168       2  0 15:14 ?        00:00:00 [kworker/2:0-rcu_par_gp]
root        1169     756  0 15:14 ?        00:00:00 lightdm --session-child 15 26
joomee      1177       1  0 15:14 ?        00:00:00 /lib/systemd/systemd --user
joomee      1178    1177  0 15:14 ?        00:00:00 (sd-pam)
root        1192       2  0 15:14 ?        00:00:00 [psimon]
joomee      1195    1177  0 15:14 ?        00:00:00 /usr/bin/pipewire
joomee      1196    1177  0 15:14 ?        00:00:00 /usr/bin/pipewire -c filter-chain.conf
joomee      1197    1177  0 15:14 ?        00:00:00 /usr/bin/wireplumber
joomee      1198    1177  0 15:14 ?        00:00:00 /usr/bin/pipewire-pulse
joomee      1200    1177  0 15:14 ?        00:00:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
joomee      1201    1177  0 15:14 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
joomee      1222    1169  0 15:14 ?        00:00:00 xfce4-session
joomee      1269    1177  0 15:14 ?        00:00:00 /usr/libexec/xdg-permission-store
joomee      1270    1222  0 15:14 ?        00:00:00 /usr/bin/ssh-agent x-session-manager
joomee      1284    1177  0 15:14 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
joomee      1291    1284  0 15:14 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus_0
joomee      1302    1177  0 15:14 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
joomee      1315    1177  0 15:14 ?        00:00:00 /usr/bin/gpg-agent --supervised
joomee      1317    1222  0 15:14 ?        00:00:08 xfwm4
joomee      1321    1177  0 15:14 ?        00:00:00 /usr/libexec/gvfsd
joomee      1327    1177  0 15:14 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
joomee      1351    1222  0 15:14 ?        00:00:00 xfsettingsd
root        1355       1  0 15:14 ?        00:00:00 /usr/libexec/upowerd
joomee      1361    1222  0 15:14 ?        00:00:01 xfce4-panel
joomee      1366    1222  0 15:14 ?        00:00:00 Thunar --daemon
joomee      1372    1222  0 15:14 ?        00:00:01 xfdesktop
joomee      1373    1361  0 15:14 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libwhiskermenu.so 1 16777223 whiskermenu Whisker Menu Show a menu to easily access installed applications
joomee      1380    1361  0 15:14 ?        00:00:06 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libcpugraph.so 13 16777228 cpugraph CPU Graph Graphical representation of the CPU load
joomee      1381    1361  0 15:14 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libsystray.so 14 16777229 systray Status Tray Plugin Provides status notifier items (application indicators) and legacy systray items
joomee      1382    1361  0 15:14 ?        00:00:04 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libgenmon.so 15 16777230 genmon Generic Monitor Show output of a command.
joomee      1383    1361  0 15:14 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libpulseaudio-plugin.so 16 16777231 pulseaudio PulseAudio Plugin Adjust the audio volume of the PulseAudio sound system
joomee      1384    1361  0 15:14 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libnotification-plugin.so 17 16777232 notification-plugin Notification Plugin Notification plugin for the Xfce panel
joomee      1385    1361  0 15:14 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libxfce4powermanager.so 18 16777233 power-manager-plugin Power Manager Plugin Display the battery levels of your devices and control the brightness of your display
joomee      1388    1361  0 15:14 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/x86_64-linux-gnu/xfce4/panel/plugins/libactions.so 22 16777234 actions Action Buttons Log out, lock or other system actions
joomee      1415    1177  0 15:14 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/notifyd/xfce4-notifyd
joomee      1459    1222  0 15:14 ?        00:00:00 xfce4-power-manager
joomee      1466    1222  0 15:14 ?        00:00:00 xiccd
joomee      1468    1222  0 15:14 ?        00:00:00 nm-applet
joomee      1475    1222  0 15:14 ?        00:00:00 /usr/bin/python3 /usr/bin/blueman-applet
colord      1486       1  0 15:14 ?        00:00:00 /usr/libexec/colord
joomee      1487    1222  0 15:14 ?        00:00:00 /usr/libexec/geoclue-2.0/demos/agent
joomee      1490    1222  0 15:14 ?        00:00:00 light-locker
joomee      1519       1  0 15:14 ?        00:00:04 /usr/bin/vmtoolsd -n vmusr --blockFd 3
joomee      1520    1222  0 15:14 ?        00:00:00 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
joomee      1522       1  0 15:14 ?        00:00:00 xcape -e Super_L Control_L Escape
joomee      1526    1177  0 15:14 ?        00:00:00 /usr/libexec/dconf-service
joomee      1589    1177  0 15:14 ?        00:00:00 /usr/libexec/gvfs-udisks2-volume-monitor
root        1616       1  0 15:14 ?        00:00:00 /usr/libexec/udisks2/udisksd
joomee      1660    1177  0 15:14 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
joomee      1668    1177  0 15:14 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
joomee      1676    1177  0 15:14 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
joomee      1684    1177  0 15:14 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
joomee      1698    1321  0 15:14 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.21 /org/gtk/gvfs/exec_spaw/0
joomee      1705    1177  0 15:14 ?        00:00:00 /usr/libexec/gvfsd-metadata
joomee      1717    1177  0 15:14 ?        00:00:00 /usr/libexec/bluetooth/obexd
root        1797       2  0 15:14 ?        00:00:00 [kworker/0:3-mm_percpu_wq]
joomee      1888       1  0 15:14 ?        00:00:05 /usr/bin/qterminal
joomee      1891    1888  0 15:14 pts/1    00:00:03 /usr/bin/zsh
root        6912       2  0 15:24 ?        00:00:00 [kworker/u256:2-flush-259:0]
root        8086       2  0 15:26 ?        00:00:00 [kworker/3:1-events]
root       13100       2  0 15:37 ?        00:00:00 [kworker/3:0-events_freezable]
root       13493       2  0 15:38 ?        00:00:00 [kworker/1:1-ata_sff]
root       13982       2  0 15:39 ?        00:00:00 [kworker/2:1-mpt_poll_0]
root       14069       2  0 15:39 ?        00:00:00 [kworker/u256:1-events_unbound]
root       16167       2  0 15:43 ?        00:00:00 [kworker/1:2-ata_sff]
joomee     16340    1177  0 15:43 ?        00:00:00 /usr/lib/x86_64-linux-gnu/xfce4/xfconf/xfconfd
joomee     16685    1891 99 15:43 pts/1    00:00:00 ps -ef
